Adj Close,Open,High,Low,Close,Volume
931.25,935.210022,943.700012,905,931.25,24379400
905.659973,928.179993,931.5,889.409973,905.659973,22264300
891.140015,882,937,880.52002,891.140015,26285200
923.320007,897.219971,936.5,881.169983,923.320007,24541800
907.340027,923.789978,947.77002,902.710022,907.340027,20331500
922,905.530029,926.289978,894.799988,922,16909700
932,935,946.27002,920,932,17419800
904.549988,908.369995,943.809998,896.700012,904.549988,22042300
860,909.630005,915.960022,850.700012,860,26548600
875.76001,861.570007,898.880005,853.150024,875.76001,22585500
922.429993,900,923,893.380005,922.429993,19095400
923.390015,914.049988,926.429993,901.210022,923.390015,17098100
876.349976,913.26001,918.5,874.099976,876.349976,18392800
856.97998,886,886.869995,837.609985,856.97998,22833900
821.530029,834.130005,856.72998,801.099976,821.530029,27762700
764.039978,830.429993,835.299988,760.559998,764.039978,31752300
800.77002,700.390015,802.47998,700,800.77002,45107400
809.869995,809.22998,819.5,782.400024,809.869995,25355900
870.429993,815.01001,876.859985,814.710022,870.429993,33002300
864.369995,869.679993,889.880005,853.780029,864.369995,24922300
879.890015,872.130005,886.47998,844.27002,879.890015,24881100
839.289978,878.77002,886.440002,832.599976,839.289978,20541200
838.289978,849.099976,855.650024,825.159973,838.289978,22333200
804.580017,856.299988,866.140015,804.570007,804.580017,24164700
824.400024,795.530029,849.98999,782.169983,824.400024,26799700
858.969971,839.47998,860.559998,832.01001,858.969971,19728000
838.299988,851.450012,854.450012,810.359985,838.299988,19549500
795.349976,840.200012,843.799988,793.77002,795.349976,22345700
766.369995,780.609985,800.700012,756.039978,766.369995,23717400
801.890015,775.27002,805.570007,756.570007,801.890015,22280400
840.22998,809,842,802.26001,840.22998,28009600
871.599976,830.98999,875,825.719971,871.599976,22194300
905.390015,874.48999,907.849976,867.390015,905.390015,33471400
921.159973,914.97998,942.849976,907.090027,921.159973,27327200
993.97998,930,997.859985,921.75,993.97998,35289500
999.109985,979.940002,1040.699951,976.400024,999.109985,40225400
1013.919983,1009.72998,1024.48999,988.799988,1013.919983,22973600
1010.640015,1008,1021.799988,997.320007,1010.640015,20677200
1091.839966,1065.099976,1097.880005,1053.599976,1091.839966,34168700
1099.569946,1107.98999,1114.77002,1073.109985,1099.569946,24538300
1093.98999,1091.170044,1113.949951,1084,1093.98999,19955000
1077.599976,1094.569946,1103.140015,1076.640015,1077.599976,16330900
1084.589966,1081.150024,1094.75,1066.640015,1084.589966,18087700
1145.449951,1089.380005,1149.910034,1072.530029,1145.449951,27345300
